taxon,genus,subtribe,tribe,subfamily,family,superfamily,order,class,taxon1,taxon2,rand.type,polyphyly.scheme,use.paraphyletic,use.singleton,respect.mono,use.stem,respect.para,clump.puts,prob,keep.tip,MDCC,MDCC.rank
Abies_alba,Abies,,,,Pinaceae,,,Pinopsida,,,,,,,,,,,,1,Tip,Tip
Abies_pinsapo,Abies,,,,Pinaceae,,,Pinopsida,,,,,,,,,,,,1,Tip,Tip
Acer_campestre,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_monspessulanum,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_granatense,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Acer,genus
Acer_opalus,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_platanoides,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_pseudoplatanus,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Orchis_anthropophora,Orchis,Orchidinae,Orchideae,Orchidoideae,Orchidaceae,,Asparagales,Magnoliopsida,,,,,,,,,,,,1,Orchis,genus
Achillea_ageratum,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_ceretanica,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Achillea,genus
Achillea_chamaemelifolia,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_millefolium,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_odorata,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Achillea,genus
Achillea_pyrenaica,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_santolinoides,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_tomentosa,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Achillea,genus
Stipa_bromoides,Stipa,,Stipeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Stipa_calamagrostis,Stipa,,Stipeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Hypochaeris_rutea,Hypochaeris,Hypochaeridinae,Cichorieae,Cichorioideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achyrophorus_stuessyi,Achyrophorus,Hypochaeridinae,Cichorieae,Cichorioideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Hypochaeridinae,subtribe
Hypochaeris_achyrophorus,Hypochaeris,Hypochaeridinae,Cichorieae,Cichorioideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Clinopodium_alpinum,Clinopodium,,Mentheae,Nepetoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Clinopodium_acinos,Clinopodium,,Mentheae,Nepetoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Clinopodium_graveolens_ssp._rotundifolium,Clinopodium,,Mentheae,Nepetoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Clinopodium,genus
Aconitum_anthora,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aconitum_burnatii,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Aconitum_napellus_ssp._castellanum,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Aconitum_napellus_ssp._lusitanicum,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Aconitum_napellus_ssp._vulgare,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Aconitum_variegatum_ssp._pyrenaicum,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Aconitum_lamarckii,Aconitum,,Delphinieae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Aconitum,genus
Actaea_spicata,Actaea,,,,,,,,,,,,,,,,,,,1,Tip,Tip
Adenocarpus_anisochilus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_argyrophyllus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_aureus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_complicatus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Adenocarpus_decorticans,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_desertorum,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_gibbsianus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_hispanicus,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_lainzii,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenocarpus_telonensis,Adenocarpus,,Genisteae,Papilionoideae,Fabaceae,,Fabales,Magnoliopsida,,,,,,,,,,,,1,Adenocarpus,genus
Adenostyles_alliariae,Adenostyles,Senecioninae,Senecioneae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Adenostyles_alpina_ssp._pyrenaica,Adenostyles,Senecioninae,Senecioneae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Adenostyles,genus
Adiantum_capillus-veneris,Adiantum,,,Vittarioideae,Pteridaceae,,Polypodiales,Polypodiopsida,,,,,,,,,,,,1,Tip,Tip
Adonis_aestivalis,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Adonis_aestivalis_ssp._squarrosa,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Adonis,genus
Adonis_annua,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Adonis_flammea,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Adonis,genus
Adonis_microcarpa,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Adonis,genus
Adonis_pyrenaica,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Adonis,genus
Adonis_vernalis,Adonis,,Adonideae,Ranunculoideae,Ranunculaceae,,Ranunculales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aegilops_biuncialis,Aegilops,Triticinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aegilops,genus
Aegilops_geniculata,Aegilops,Triticinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aegilops_neglecta,Aegilops,Triticinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aegilops_triuncialis,Aegilops,Triticinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aegilops_ventricosa,Aegilops,Triticinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Glandora_gastonii,Glandora,,Lithospermeae,Boraginoideae,Boraginaceae,,Boraginales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Buglossoides_purpurocaerulea,Buglossoides,,Lithospermeae,Boraginoideae,Boraginaceae,,Boraginales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aegopodium_podagraria,Aegopodium,,Careae,Apioideae,Apiaceae,,Apiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aeluropus_littoralis,Aeluropus,Aeluropodinae,Cynodonteae,Chloridoideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aethionema_saxatile_ssp._ovalifolium,Aethionema,,Aethionemeae,,Brassicaceae,,Brassicales,Magnoliopsida,,,,,,,,,,,,1,Aethionema,genus
Aethionema_monospermum,Aethionema,,Aethionemeae,,Brassicaceae,,Brassicales,Magnoliopsida,,,,,,,,,,,,1,Aethionema,genus
Aethionema_saxatile,Aethionema,,Aethionemeae,,Brassicaceae,,Brassicales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aethionema_thomasianum,Aethionema,,Aethionemeae,,Brassicaceae,,Brassicales,Magnoliopsida,,,,,,,,,,,,1,Aethionema,genus
Aethusa_cynapium,Aethusa,,Selineae,Apioideae,Apiaceae,,Apiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrimonia_eupatoria,Agrimonia,Agrimoniinae,Sanguisorbeae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrimonia_eupatoria_ssp._grandis,Agrimonia,Agrimoniinae,Sanguisorbeae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Agrimonia,genus
Agrimonia_procera,Agrimonia,Agrimoniinae,Sanguisorbeae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Agrimonia,genus
Agropyron_cristatum,Agropyron,Hordeinae,Triticeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_alpina,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_barceloi,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_canina_ssp._canina,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_canina_ssp._granatensis,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_capillaris,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_castellana,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_curtisii,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_gigantea,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_hesperica,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_nevadensis,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_rupestris,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_schleicheri,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_schraderiana,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Agrostis_stolonifera,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Agrostis_tileni,Agrostis,Agrostidinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Agrostis,genus
Aira_caryophyllea_ssp._caryophyllea,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_caryophyllea_ssp._multiculmis,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_cupaniana,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aira_elegans,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_hercynica,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_minoricensis,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_praecox,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aira_tenorei,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Aira_uniaristata,Aira,Airinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Aira,genus
Airopsis_tenella,Airopsis,Brizinae,Poeae,Pooideae,Poaceae,,Poales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Aizoon_hispanicum,Aizoon,,,,Aizoaceae,,Caryophyllales,Magnoliopsida,,,,,,,,,,,,1,Aizoon,genus
Ajuga_chamaepitys,Ajuga,,Ajugeae,Ajugoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Ajuga_iva,Ajuga,,Ajugeae,Ajugoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Ajuga,genus
Ajuga_pyramidalis_ssp._meonantha,Ajuga,,Ajugeae,Ajugoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Ajuga,genus
Ajuga_pyramidalis_ssp._pyramidalis,Ajuga,,Ajugeae,Ajugoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Ajuga,genus
Ajuga_reptans,Ajuga,,Ajugeae,Ajugoideae,Lamiaceae,,Lamiales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_acutiformis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_albinervia,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_alpigena,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_alpina,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_amphisericea,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_angustata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_angustiserrata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_aranica,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_atriuscula,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_atropurpurea,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_benasquensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_borderei,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_burgensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_cadinensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_catalaunica,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_cataractarum,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_colorata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_connivens,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_coriacea,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_crenulata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_demissa,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_diluta,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_effusa,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_espotensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_fageti,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_fallax,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_filicaulis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_fissa,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_flabellata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_fontqueri,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_frost-olsenii,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_fulgens,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_fulgida,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_glabra,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_glaucescens,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_glomerulans,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_hispanica,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_hoppeaniformis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_hypercycla,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_ilerdensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_impedicellata,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_inconcinna,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_iniquiformis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_iratiana,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_ischnocarpa,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_lainzii,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_hybrida,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_legionensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_lucida,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_lunaria,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_macrochira,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_melanoscytos,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_microcephala,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_montserratii,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_mystrostigma,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_nafarroana,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_nieto-felineri,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_nudans,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_oscensis,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_ozana,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_pallens,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_paupercula,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_pentaphyllea,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Alchemilla_perspicua,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_polatschekiana,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_polita,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_polychroma,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
Alchemilla_rubristipula,Alchemilla,Fragariinae,Potentilleae,Rosoideae,Rosaceae,,Rosales,Magnoliopsida,,,,,,,,,,,,1,Alchemilla,genus
